ensembl_gene_id	external_gene_name	description
ENSRNOG00000070096	Or14n1	olfactory receptor family 14 subfamily N member 1 [Source:RGD Symbol;Acc:1332905]
ENSRNOG00000062311	Or8h10c	olfactory receptor family 8 subfamily H member 10C [Source:RGD Symbol;Acc:1332695]
ENSRNOG00000064522	LOC120100251	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:40966335]
ENSRNOG00000035532	Mir101-2	microRNA 101-2 [Source:RGD Symbol;Acc:2325609]
ENSRNOG00000009830	Fam204a	family with sequence similarity 204, member A [Source:RGD Symbol;Acc:1305500]
ENSRNOG00000012742	Irx2	iroquois homeobox 2 [Source:RGD Symbol;Acc:1309834]
ENSRNOG00000063184	Or2d3c	olfactory receptor family 2 subfamily D member 3C [Source:RGD Symbol;Acc:1334043]
ENSRNOG00000020337	Sla2	Src-like-adaptor 2 [Source:RGD Symbol;Acc:1562071]
ENSRNOG00000070569	Tgap1l11	GTPase activating protein testicular GAP1 like 11 [Source:RGD Symbol;Acc:1563562]
ENSRNOG00000069135	Snord97	small nucleolar RNA, C/D box 97 [Source:RGD Symbol;Acc:41129599]
ENSRNOG00000016408	Kirrel1	kirre like nephrin family adhesion molecule 1 [Source:RGD Symbol;Acc:727883]
ENSRNOG00000071210	LOC120100334	U2 spliceosomal RNA [Source:RGD Symbol;Acc:41334313]
ENSRNOG00000019455	Ap4b1	adaptor related protein complex 4 subunit beta 1 [Source:RGD Symbol;Acc:1310529]
ENSRNOG00000065122	Hypk	Huntingtin interacting protein K [Source:RGD Symbol;Acc:1311457]
ENSRNOG00000064435	LOC120100317	small nucleolar RNA SNORD116 [Source:RGD Symbol;Acc:41084950]
ENSRNOG00000065990	Mir344a-2	microRNA 344a-2 [Source:RGD Symbol;Acc:4888565]
ENSRNOG00000065939	LOC120100128	U6 spliceosomal RNA [Source:RGD Symbol;Acc:41014533]
ENSRNOG00000070655	Or8h10b	olfactory receptor family 8 subfamily H member 10B [Source:RGD Symbol;Acc:1333655]
ENSRNOG00000013767	Ccdc61	coiled-coil domain containing 61 [Source:RGD Symbol;Acc:1307390]
ENSRNOG00000063387	Or13a27d	olfactory receptor family 13 subfamily A member 27D [Source:RGD Symbol;Acc:1333513]
ENSRNOG00000013790	Mfsd1	major facilitator superfamily domain containing 1 [Source:RGD Symbol;Acc:1305751]
ENSRNOG00000052521	LOC120093055	small Cajal body-specific RNA 3 [Source:RGD Symbol;Acc:41199722]
ENSRNOG00000015184	Clic3	chloride intracellular channel 3 [Source:RGD Symbol;Acc:1307249]
ENSRNOG00000062791	LOC120100287	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41247311]
ENSRNOG00000020893	Snx27	sorting nexin 27 [Source:RGD Symbol;Acc:628705]
ENSRNOG00000064203	Or6d13b	olfactory receptor family 6 subfamily D member 13B [Source:RGD Symbol;Acc:1333814]
ENSRNOG00000032699	Ttyh1	tweety family member 1 [Source:RGD Symbol;Acc:1310103]
ENSRNOG00000035616	Mir3574	microRNA 3574 [Source:RGD Symbol;Acc:4888587]
ENSRNOG00000069698	LOC108349467	uncharacterized LOC108349467 [Source:RGD Symbol;Acc:11502957]
ENSRNOG00000070996	Spred1	sprouty-related, EVH1 domain containing 1 [Source:RGD Symbol;Acc:1308735]
ENSRNOG00000063324	Snora20	small nucleolar RNA, H/ACA box 20 [Source:RGD Symbol;Acc:41087412]
ENSRNOG00000058041	LOC120100215	U7 small nuclear RNA [Source:RGD Symbol;Acc:40985057]
ENSRNOG00000062864	Mir9-2hg	Mir9-2 host gene [Source:RGD Symbol;Acc:40960165]
ENSRNOG00000027016	Cobll1	cordon-bleu WH2 repeat protein-like 1 [Source:RGD Symbol;Acc:1308954]
ENSRNOG00000018408	C1h19orf47	similar to human chromosome 19 open reading frame 47 [Source:RGD Symbol;Acc:1307554]
ENSRNOG00000064960	LOC120100254	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41323105]
ENSRNOG00000030782	Or10a49	olfactory receptor family 10 subfamily A member 49 [Source:RGD Symbol;Acc:1333156]
ENSRNOG00000016421	Tyr	tyrosinase [Source:RGD Symbol;Acc:1589755]
ENSRNOG00000058299	Rnu6-546	RNA, U6 small nuclear 546 [Source:RGD Symbol;Acc:41191607]
ENSRNOG00000065756	Mfap1a	microfibrillar-associated protein 1A [Source:RGD Symbol;Acc:1562232]
ENSRNOG00000018334	Ctu1	cytosolic thiouridylase subunit 1 [Source:RGD Symbol;Acc:1308740]
ENSRNOG00000070685	Rnu6-993	RNA, U6 small nuclear 993 [Source:RGD Symbol;Acc:41222380]
ENSRNOG00000060004	Mir3572	microRNA 3572 [Source:RGD Symbol;Acc:4888589]
ENSRNOG00000013074	Wt1	WT1 transcription factor [Source:RGD Symbol;Acc:3974]
ENSRNOG00000014726	Acsm4	acyl-CoA synthetase medium-chain family member 4 [Source:RGD Symbol;Acc:727928]
ENSRNOG00000004967	Snrpb2	small nuclear ribonucleoprotein polypeptide B2 [Source:RGD Symbol;Acc:1310194]
ENSRNOG00000060273	LOC120100386	small nucleolar RNA SNORA32 [Source:RGD Symbol;Acc:41309215]
ENSRNOG00000070216	LOC120100252	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41073030]
ENSRNOG00000051969	Snora29	small nucleolar RNA, H/ACA box 29 [Source:RGD Symbol;Acc:41161183]
ENSRNOG00000065221	Amy2a3	amylase 2a3 [Source:RGD Symbol;Acc:1593187]
ENSRNOG00000023407	Mrpl36	mitochondrial ribosomal protein L36 [Source:RGD Symbol;Acc:1306375]
ENSRNOG00000035654	Mir99b	microRNA 99b [Source:RGD Symbol;Acc:2325431]
ENSRNOG00000061890	Ust5r	integral membrane transport protein UST5r [Source:RGD Symbol;Acc:620985]
ENSRNOG00000010529	Thbs2	thrombospondin 2 [Source:RGD Symbol;Acc:1310979]
ENSRNOG00000053392	AC095678.2	NULL
ENSRNOG00000012684	Bloc1s2	biogenesis of lysosomal organelles complex-1, subunit 2 [Source:RGD Symbol;Acc:1306551]
ENSRNOG00000069040	LOC120100403	small nucleolar RNA SNORA48 [Source:RGD Symbol;Acc:41265789]
ENSRNOG00000014258	Rab32	RAB32, member RAS oncogene family [Source:RGD Symbol;Acc:1559997]
ENSRNOG00000010918	Cebpa	CCAAT/enhancer binding protein alpha [Source:RGD Symbol;Acc:2326]
ENSRNOG00000030825	Or5t16	olfactory receptor family 5 subfamily T member 16 [Source:RGD Symbol;Acc:1334282]
ENSRNOG00000066483	LOC120100319	small nucleolar RNA SNORD116 [Source:RGD Symbol;Acc:41023737]
ENSRNOG00000014617	Tgoln2	trans-golgi network protein 2 [Source:RGD Symbol;Acc:620445]
ENSRNOG00000051780	LOC120100462	small nucleolar RNA SNORA40 [Source:RGD Symbol;Acc:41336906]
ENSRNOG00000067027	H3f3bl2	H3.3 histone B like 2 [Source:RGD Symbol;Acc:11381356]
ENSRNOG00000035560	Mir150	microRNA 150 [Source:RGD Symbol;Acc:2325455]
ENSRNOG00000008980	Rbm48	RNA binding motif protein 48 [Source:RGD Symbol;Acc:1310794]
ENSRNOG00000019416	Zfp61	zinc finger protein 61 [Source:RGD Symbol;Acc:1563843]
ENSRNOG00000017366	Olr193	olfactory receptor 193 [Source:RGD Symbol;Acc:1332887]
ENSRNOG00000007608	Fezf1	Fez family zinc finger 1 [Source:RGD Symbol;Acc:1560480]
ENSRNOG00000053012	LOC120100427	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41166240]
ENSRNOG00000059864	LOC120100432	small nucleolar RNA SNORA17 [Source:RGD Symbol;Acc:41307516]
ENSRNOG00000053838	LOC120100288	small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41079516]
ENSRNOG00000066506	LOC102553625	uncharacterized LOC102553625 [Source:RGD Symbol;Acc:7505957]
ENSRNOG00000015294	Paxx	PAXX, non-homologous end joining factor [Source:RGD Symbol;Acc:1306215]
