ensembl_gene_id	external_gene_name	description
ENSRNOG00000020380	Lgals7	galectin 7 [Source:RGD Symbol;Acc:61951]
ENSRNOG00000011146	Gyg1	glycogenin 1 [Source:RGD Symbol;Acc:621785]
ENSRNOG00000014673	Eri2	ERI1 exoribonuclease family member 2 [Source:RGD Symbol;Acc:1583889]
ENSRNOG00000016206	Uvrag	UV radiation resistance associated [Source:RGD Symbol;Acc:1589754]
ENSRNOG00000016210	Mical2	microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:RGD Symbol;Acc:1311773]
ENSRNOG00000010681	Pitx2	paired-like homeodomain 2 [Source:RGD Symbol;Acc:3331]
ENSRNOG00000019145	Kdm2a	lysine demethylase 2A [Source:RGD Symbol;Acc:1309419]
ENSRNOG00000019674	Mfsd13a	major facilitator superfamily domain containing 13A [Source:RGD Symbol;Acc:1309313]
ENSRNOG00000012337	Pde1c	phosphodiesterase 1C [Source:RGD Symbol;Acc:68332]
ENSRNOG00000020617	Mus81	MUS81 structure-specific endonuclease subunit [Source:RGD Symbol;Acc:1311957]
ENSRNOG00000033134	Mef2c	myocyte enhancer factor 2C [Source:RGD Symbol;Acc:1563119]
ENSRNOG00000051490	Plcg1	phospholipase C, gamma 1 [Source:RGD Symbol;Acc:3347]
ENSRNOG00000017021	Galnt18	polypeptide N-acetylgalactosaminyltransferase 18 [Source:RGD Symbol;Acc:1309623]
ENSRNOG00000024492	Ap1ar	adaptor-related protein complex 1 associated regulatory protein [Source:RGD Symbol;Acc:1311435]
ENSRNOG00000057761	Ttf2	transcription termination factor 2 [Source:RGD Symbol;Acc:1309145]
ENSRNOG00000031598	Atp8b4	ATPase phospholipid transporting 8B4 (putative) [Source:RGD Symbol;Acc:1306712]
ENSRNOG00000057702	Insrr	insulin receptor-related receptor [Source:RGD Symbol;Acc:67399]
ENSRNOG00000007092	Fgb	fibrinogen beta chain [Source:RGD Symbol;Acc:2604]
ENSRNOG00000065317	Or8h7	olfactory receptor family 8 subfamily H member 7 [Source:RGD Symbol;Acc:1333410]
ENSRNOG00000008376	Slc2a3	solute carrier family 2 member 3 [Source:RGD Symbol;Acc:3706]
ENSRNOG00000031331	Fpr3	formyl peptide receptor 3 [Source:RGD Symbol;Acc:1566044]
ENSRNOG00000042374	Tgif2	TGFB-induced factor homeobox 2 [Source:RGD Symbol;Acc:1560115]
ENSRNOG00000024288	Etv2	ETS variant transcription factor 2 [Source:RGD Symbol;Acc:1310603]
ENSRNOG00000011014	Copg2	COPI coat complex subunit gamma 2 [Source:RGD Symbol;Acc:1566215]
ENSRNOG00000011932	Snrpa1	small nuclear ribonucleoprotein polypeptide A' [Source:RGD Symbol;Acc:2320494]
ENSRNOG00000013436	Pde7b	phosphodiesterase 7B [Source:RGD Symbol;Acc:621016]
ENSRNOG00000063946	Or8h9	olfactory receptor family 8 subfamily H member 9 [Source:RGD Symbol;Acc:1333349]
ENSRNOG00000009957	Slc25a13	solute carrier family 25 member 13 [Source:RGD Symbol;Acc:1565889]
ENSRNOG00000032805	Cyp2f4	cytochrome P450, family 2, subfamily f, polypeptide 4 [Source:RGD Symbol;Acc:2476]
ENSRNOG00000022178	Dcdc1-ps1	doublecortin domain containing 1, pseudogene 1 [Source:RGD Symbol;Acc:1562221]
ENSRNOG00000022343	Alms1	ALMS1, centrosome and basal body associated protein [Source:RGD Symbol;Acc:1311590]
ENSRNOG00000025278	Scai	suppressor of cancer cell invasion [Source:RGD Symbol;Acc:1594720]
ENSRNOG00000013381	Tsg101	tumor susceptibility 101 [Source:RGD Symbol;Acc:3909]
ENSRNOG00000021867	Mrpl42-ps2	mitochondrial ribosomal protein L42, pseudogene 2 [Source:RGD Symbol;Acc:2320862]
ENSRNOG00000020479	Pik3c2a	phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha [Source:RGD Symbol;Acc:1310389]
ENSRNOG00000036859	Gdpd5	glycerophosphodiester phosphodiesterase domain containing 5 [Source:RGD Symbol;Acc:1559673]
ENSRNOG00000050190	Eng	endoglin [Source:RGD Symbol;Acc:1593188]
ENSRNOG00000019883	Pak4	p21 (RAC1) activated kinase 4 [Source:RGD Symbol;Acc:1307705]
ENSRNOG00000005196	Slc12a6	solute carrier family 12, member 6 [Source:RGD Symbol;Acc:1311335]
ENSRNOG00000016683	Zfp668	zinc finger protein 668 [Source:RGD Symbol;Acc:1308623]
ENSRNOG00000065280	Dpm3	dolichyl-phosphate mannosyltransferase subunit 3, regulatory [Source:RGD Symbol;Acc:1561807]
ENSRNOG00000016419	Pdlim5	PDZ and LIM domain 5 [Source:RGD Symbol;Acc:621076]
ENSRNOG00000051867	Zfp758	zinc finger protein 758 [Source:RGD Symbol;Acc:1594701]
ENSRNOG00000032635	Rpl8-ps7	ribosomal protein L8, pseudogene 7 [Source:RGD Symbol;Acc:2322732]
ENSRNOG00000062572	Or10ag59	olfactory receptor family 10 subfamily AG member 59 [Source:RGD Symbol;Acc:1332657]
ENSRNOG00000045741	AABR07071891.2	NULL
ENSRNOG00000057384	Nfatc2ip	nuclear factor of activated T-cells 2 interacting protein [Source:RGD Symbol;Acc:1359096]
ENSRNOG00000014739	Wfdc2	WAP four-disulfide core domain 2 [Source:RGD Symbol;Acc:628757]
ENSRNOG00000042407	Obp2a	odorant binding protein 2A [Source:RGD Symbol;Acc:1588212]
ENSRNOG00000020554	Slc50a1	solute carrier family 50 member 1 [Source:RGD Symbol;Acc:1308478]
ENSRNOG00000054429	AABR07011697.1	NULL
ENSRNOG00000009952	Or5t17-ps1	olfactory receptor family 5 subfamily T member 17, pseudogene 1 [Source:RGD Symbol;Acc:1334035]
ENSRNOG00000061358	AC129365.1	NULL
ENSRNOG00000019685	Gdpd3	glycerophosphodiester phosphodiesterase domain containing 3 [Source:RGD Symbol;Acc:1308386]
ENSRNOG00000011308	Uhrf2	ubiquitin like with PHD and ring finger domains 2 [Source:RGD Symbol;Acc:1309990]
ENSRNOG00000031778	Mef2d	myocyte enhancer factor 2D [Source:RGD Symbol;Acc:621489]
ENSRNOG00000027988	Zhx3	zinc fingers and homeoboxes 3 [Source:RGD Symbol;Acc:631431]
ENSRNOG00000030266	Plekhg2	pleckstrin homology and RhoGEF domain containing G2 [Source:RGD Symbol;Acc:1310112]
ENSRNOG00000000170	Slc30a4	solute carrier family 30 member 4 [Source:RGD Symbol;Acc:619750]
ENSRNOG00000028529	AC134651.1	NULL
ENSRNOG00000010960	Ankh	ANKH inorganic pyrophosphate transport regulator [Source:RGD Symbol;Acc:619925]
ENSRNOG00000021140	Kcnk4	potassium two pore domain channel subfamily K member 4 [Source:RGD Symbol;Acc:621449]
ENSRNOG00000068399	Itgad	integrin subunit alpha D [Source:RGD Symbol;Acc:71075]
ENSRNOG00000009903	Serpini2	serpin family I member 2 [Source:RGD Symbol;Acc:619897]
ENSRNOG00000016573	Dgat2	diacylglycerol O-acyltransferase 2 [Source:RGD Symbol;Acc:620329]
ENSRNOG00000014046	Sertm1	serine-rich and transmembrane domain containing 1 [Source:RGD Symbol;Acc:1597355]
ENSRNOG00000051578	Zfp677	zinc finger protein 677 [Source:RGD Symbol;Acc:7689541]
ENSRNOG00000068653	Or8i2	olfactory receptor family 8 subfamily I member 2 [Source:RGD Symbol;Acc:1334050]
ENSRNOG00000014154	Ilf2	interleukin enhancer binding factor 2 [Source:RGD Symbol;Acc:1305734]
ENSRNOG00000055760	Eif3i-ps1	eukaryotic translation initiation factor 3, subunit I, pseudogene 1 [Source:RGD Symbol;Acc:1560498]
ENSRNOG00000025167	Sema4b	semaphorin 4B [Source:RGD Symbol;Acc:1307872]
ENSRNOG00000020860	Tdrkh	tudor and KH domain containing [Source:RGD Symbol;Acc:1311196]
ENSRNOG00000064956	Tdpoz1-ps17	TD and POZ domain containing 1, pseudogene 17 [Source:RGD Symbol;Acc:41222762]
ENSRNOG00000059474	Mob1a	MOB kinase activator 1A [Source:RGD Symbol;Acc:1307014]
ENSRNOG00000052294	Spint3	serine peptidase inhibitor, Kunitz type, 3 [Source:RGD Symbol;Acc:1597746]
ENSRNOG00000005719	Emc4	ER membrane protein complex subunit 4 [Source:RGD Symbol;Acc:1310905]
ENSRNOG00000021763	Ffar4	free fatty acid receptor 4 [Source:RGD Symbol;Acc:1308252]
ENSRNOG00000016544	Arhgef28	Rho guanine nucleotide exchange factor 28 [Source:RGD Symbol;Acc:1307061]
ENSRNOG00000070931	Or8k27	olfactory receptor family 8 subfamily K member 27 [Source:RGD Symbol;Acc:1332795]
ENSRNOG00000051869	AABR07013931.1	NULL
ENSRNOG00000049213	Npy2r	neuropeptide Y receptor Y2 [Source:RGD Symbol;Acc:620475]
ENSRNOG00000066618	Sfxn2	sideroflexin 2 [Source:RGD Symbol;Acc:1306131]
ENSRNOG00000047188	AABR07012133.1	NULL
ENSRNOG00000020621	Dcst1	DC-STAMP domain containing 1 [Source:RGD Symbol;Acc:1307756]
ENSRNOG00000014268	Abca2	ATP binding cassette subfamily A member 2 [Source:RGD Symbol;Acc:620238]
ENSRNOG00000043056	Fpr2l3	formyl peptide receptor 2 like 3 [Source:RGD Symbol;Acc:1582880]
ENSRNOG00000008283	B4galt5	beta-1,4-galactosyltransferase 5 [Source:RGD Symbol;Acc:1310062]
ENSRNOG00000042526	Wfdc6a	WAP four-disulfide core domain 6A [Source:RGD Symbol;Acc:1597730]
ENSRNOG00000066461	Or4p18	olfactory receptor family 4 subfamily P member 18 [Source:RGD Symbol;Acc:1333063]
ENSRNOG00000020495	Eif3k	eukaryotic translation initiation factor 3, subunit K [Source:RGD Symbol;Acc:1309221]
ENSRNOG00000060206	Zfp592	zinc finger protein 592 [Source:RGD Symbol;Acc:1308705]
ENSRNOG00000068036	LOC120101644	sodium/nucleoside cotransporter 2-like [Source:RGD Symbol;Acc:41172918]
ENSRNOG00000013035	Rab33b	RAB33B, member RAS oncogene family [Source:RGD Symbol;Acc:1308353]
ENSRNOG00000020596	Dmac2	distal membrane arm assembly component 2 [Source:RGD Symbol;Acc:1549698]
ENSRNOG00000011893	LOC100365839	40S ribosomal protein S3a-like [Source:RGD Symbol;Acc:2318248]
ENSRNOG00000015520	Ticrr	TOPBP1-interacting checkpoint and replication regulator [Source:RGD Symbol;Acc:1308541]
ENSRNOG00000056036	Zfp51	zinc finger protein 51 [Source:RGD Symbol;Acc:9163837]
ENSRNOG00000055531	Saa4	serum amyloid A4 [Source:RGD Symbol;Acc:1307371]
ENSRNOG00000045838	Hps1	HPS1, biogenesis of lysosomal organelles complex 3 subunit 1 [Source:RGD Symbol;Acc:69193]
ENSRNOG00000005512	Ndufa4	Ndufa4, mitochondrial complex associated [Source:RGD Symbol;Acc:1584719]
ENSRNOG00000020904	Cdc42ep2	CDC42 effector protein 2 [Source:RGD Symbol;Acc:1310253]
ENSRNOG00000028219	Tmem209	transmembrane protein 209 [Source:RGD Symbol;Acc:1309682]
ENSRNOG00000066294	Or10ag54	olfactory receptor family 10 subfamily AG member 54 [Source:RGD Symbol;Acc:1334309]
ENSRNOG00000060844	AABR07013165.1	NULL
ENSRNOG00000058618	Dcst2	DC-STAMP domain containing 2 [Source:RGD Symbol;Acc:1564557]
ENSRNOG00000020271	Tial1	Tia1 cytotoxic granule-associated RNA binding protein-like 1 [Source:RGD Symbol;Acc:1595845]
ENSRNOG00000012394	Bcl2l13	Bcl2-like 13 [Source:RGD Symbol;Acc:1306985]
ENSRNOG00000028908	Eppin	epididymal peptidase inhibitor [Source:RGD Symbol;Acc:1597722]
ENSRNOG00000068526	Svs4	seminal vesicle secretory protein 4 [Source:RGD Symbol;Acc:3791]
ENSRNOG00000013962	Magi2	membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:RGD Symbol;Acc:621855]
ENSRNOG00000055796	Tarm1l1	T cell-interacting, activating receptor on myeloid cells 1 like 1 [Source:RGD Symbol;Acc:2323073]
ENSRNOG00000060689	Parp11	poly (ADP-ribose) polymerase family, member 11 [Source:RGD Symbol;Acc:1561791]
ENSRNOG00000018005	Duoxa1	dual oxidase maturation factor 1 [Source:RGD Symbol;Acc:1306601]
ENSRNOG00000032668	Zfp950	zinc finger protein 950 [Source:RGD Symbol;Acc:7570552]
ENSRNOG00000010431	Msh4	mutS homolog 4 [Source:RGD Symbol;Acc:1309190]
ENSRNOG00000063100	Or4c109b	olfactory receptor family 4 subfamily C member 109B [Source:RGD Symbol;Acc:1333643]
ENSRNOG00000058580	Paip1	poly(A) binding protein interacting protein 1 [Source:RGD Symbol;Acc:1305668]
ENSRNOG00000068024	B3gnt8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8 [Source:RGD Symbol;Acc:1305374]
ENSRNOG00000020640	Zbtb7b	zinc finger and BTB domain containing 7B [Source:RGD Symbol;Acc:1305963]
ENSRNOG00000028113	Whamm	WASP homolog associated with actin, golgi membranes and microtubules [Source:RGD Symbol;Acc:1563506]
ENSRNOG00000014771	Wfdc8	WAP four-disulfide core domain 8 [Source:RGD Symbol;Acc:1597713]
ENSRNOG00000047124	AABR07005775.1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:RGD Symbol;Acc:621293]
ENSRNOG00000012067	Fam111a	FAM111 trypsin like peptidase A [Source:RGD Symbol;Acc:1560913]
ENSRNOG00000069428	LOC103691690	uncharacterized LOC103691690 [Source:RGD Symbol;Acc:9137798]
ENSRNOG00000006032	Banf2	BANF family member 2 [Source:RGD Symbol;Acc:1307909]
ENSRNOG00000047696	Vom2r24	vomeronasal 2 receptor, 24 [Source:RGD Symbol;Acc:1591015]
ENSRNOG00000016795	Rabl6	RAB, member RAS oncogene family-like 6 [Source:RGD Symbol;Acc:1307615]
ENSRNOG00000013737	Bcar3	BCAR3 adaptor protein, NSP family member [Source:RGD Symbol;Acc:1311688]
ENSRNOG00000020125	Cd79a	CD79a molecule [Source:RGD Symbol;Acc:6484896]
ENSRNOG00000070932	Or4c108b	olfactory receptor family 4 subfamily C member 108B [Source:RGD Symbol;Acc:1332842]
ENSRNOG00000028685	Shf	Src homology 2 domain containing F [Source:RGD Symbol;Acc:1562705]
ENSRNOG00000028768	Gbp4	guanylate binding protein 4 [Source:RGD Symbol;Acc:1310579]
ENSRNOG00000018681	Nes	nestin [Source:RGD Symbol;Acc:3162]
ENSRNOG00000026115	Zfp646	zinc finger protein 646 [Source:RGD Symbol;Acc:1561579]
ENSRNOG00000008135	Pla2g4f	phospholipase A2, group IVF [Source:RGD Symbol;Acc:1593370]
ENSRNOG00000062543	Lin7c	lin-7 homolog C, crumbs cell polarity complex component [Source:RGD Symbol;Acc:621164]
ENSRNOG00000016870	Pcif1	phosphorylated CTD interacting factor 1 [Source:RGD Symbol;Acc:1310800]
ENSRNOG00000014083	Iqsec3	IQ motif and Sec7 domain ArfGEF 3 [Source:RGD Symbol;Acc:1593191]
ENSRNOG00000027955	Zfp133	zinc finger protein 133 [Source:RGD Symbol;Acc:1566283]
ENSRNOG00000012439	Bid	BH3 interacting domain death agonist [Source:RGD Symbol;Acc:620160]
ENSRNOG00000006003	Ctnna2	catenin alpha 2 [Source:RGD Symbol;Acc:1305060]
ENSRNOG00000042347	Zfp53	zinc finger protein 53 [Source:RGD Symbol;Acc:1308573]
ENSRNOG00000026857	Kif7	kinesin family member 7 [Source:RGD Symbol;Acc:1310310]
ENSRNOG00000062385	Or8k16b	olfactory receptor family 8 subfamily K member 16B [Source:RGD Symbol;Acc:1333472]
ENSRNOG00000031823	Wfdc6b	WAP four-disulfide core domain 6B [Source:RGD Symbol;Acc:1303277]
ENSRNOG00000017712	Cartpt	CART prepropeptide [Source:RGD Symbol;Acc:2272]
ENSRNOG00000020607	Bckdha	branched chain keto acid dehydrogenase E1 subunit alpha [Source:RGD Symbol;Acc:2196]
ENSRNOG00000042389	Bcl10	BCL10, immune signaling adaptor [Source:RGD Symbol;Acc:620544]
ENSRNOG00000012608	Tmem212	transmembrane protein 212 [Source:RGD Symbol;Acc:1563109]
ENSRNOG00000065007	Or8k22	olfactory receptor family 8 subfamily K member 22 [Source:RGD Symbol;Acc:1334227]
ENSRNOG00000013057	Prc1	protein regulator of cytokinesis 1 [Source:RGD Symbol;Acc:1311754]
ENSRNOG00000069793	Or4f53	olfactory receptor family 4 subfamily F member 53 [Source:RGD Symbol;Acc:1334379]
ENSRNOG00000070288	LOC120099868	uncharacterized LOC120099868 [Source:RGD Symbol;Acc:40978721]
ENSRNOG00000063345	Vom2r23	vomeronasal 2 receptor, 23 [Source:RGD Symbol;Acc:1560836]
ENSRNOG00000019861	Tollip	toll interacting protein [Source:RGD Symbol;Acc:1304676]
ENSRNOG00000027434	Fitm2	fat storage-inducing transmembrane protein 2 [Source:RGD Symbol;Acc:1307696]
ENSRNOG00000013194	Rps6ka2	ribosomal protein S6 kinase A2 [Source:RGD Symbol;Acc:620676]
ENSRNOG00000020906	Pola2	DNA polymerase alpha 2, accessory subunit [Source:RGD Symbol;Acc:621817]
ENSRNOG00000062364	Or8k33	olfactory receptor family 8 subfamily K member 33 [Source:RGD Symbol;Acc:1334025]
ENSRNOG00000069408	Or4k42-ps1	olfactory receptor family 4 subfamily K member 42, pseudogene 1 [Source:RGD Symbol;Acc:1333925]
ENSRNOG00000017945	Serf1	small EDRK-rich factor 1 [Source:RGD Symbol;Acc:1565105]
ENSRNOG00000032077	Or6aa1b	olfactory receptor family 6 subfamily A member A1B [Source:RGD Symbol;Acc:1333281]
ENSRNOG00000036777	Wfdc16	WAP four-disulfide core domain 16 [Source:RGD Symbol;Acc:1596495]
ENSRNOG00000036571	Ces2	carboxylesterase 2 [Source:RGD Symbol;Acc:6504334]
ENSRNOG00000012360	Gtf2h1	general transcription factor IIH subunit 1 [Source:RGD Symbol;Acc:1308225]
ENSRNOG00000012876	Slc6a13	solute carrier family 6 member 13 [Source:RGD Symbol;Acc:620788]
ENSRNOG00000064712	Arhgap20l1	Rho GTPase activating protein 20 like 1 [Source:RGD Symbol;Acc:1306704]
ENSRNOG00000058133	Ppm1n	protein phosphatase, Mg2+/Mn2+ dependent 1N [Source:RGD Symbol;Acc:1562091]
ENSRNOG00000008142	Brpf1	bromodomain and PHD finger containing, 1 [Source:RGD Symbol;Acc:1584828]
ENSRNOG00000010325	Ptger3	prostaglandin E receptor 3 [Source:RGD Symbol;Acc:3435]
ENSRNOG00000023496	Entrep2	endosomal transmembrane epsin interactor 2 [Source:RGD Symbol;Acc:1592985]
ENSRNOG00000019178	Taf10	TATA-box binding protein associated factor 10 [Source:RGD Symbol;Acc:1305907]
ENSRNOG00000019388	Egfl7	EGF-like-domain, multiple 7 [Source:RGD Symbol;Acc:708507]
ENSRNOG00000037514	Qser1	glutamine and serine rich 1 [Source:RGD Symbol;Acc:1311804]
ENSRNOG00000018094	Sv2c	synaptic vesicle glycoprotein 2c [Source:RGD Symbol;Acc:619718]
ENSRNOG00000014076	Mbnl1	muscleblind-like splicing regulator 1 [Source:RGD Symbol;Acc:628668]
ENSRNOG00000068989	Or4c129	olfactory receptor family 4 subfamily C member 129 [Source:RGD Symbol;Acc:1333978]
ENSRNOG00000004677	Zeb2	zinc finger E-box binding homeobox 2 [Source:RGD Symbol;Acc:1307272]
ENSRNOG00000014373	Trim66	tripartite motif-containing 66 [Source:RGD Symbol;Acc:1595847]
ENSRNOG00000031380	Wfdc9	WAP four-disulfide core domain 9 [Source:RGD Symbol;Acc:1303087]
ENSRNOG00000014187	Igf1r	insulin-like growth factor 1 receptor [Source:RGD Symbol;Acc:2869]
ENSRNOG00000016498	AABR07004112.1	NULL
ENSRNOG00000021359	Mtfr1	mitochondrial fission regulator 1 [Source:RGD Symbol;Acc:1304936]
ENSRNOG00000020811	Il6r	interleukin 6 receptor [Source:RGD Symbol;Acc:2902]
ENSRNOG00000030253	Tafa3	TAFA chemokine like family member 3 [Source:RGD Symbol;Acc:1587462]
ENSRNOG00000061795	Rbm4b	RNA binding motif protein 4B [Source:RGD Symbol;Acc:1359343]
ENSRNOG00000010950	Cep41	centrosomal protein 41 [Source:RGD Symbol;Acc:1562034]
ENSRNOG00000026067	Wfdc10a	WAP four-disulfide core domain 10A [Source:RGD Symbol;Acc:1596480]
ENSRNOG00000010050	Stard9	StAR-related lipid transfer domain containing 9 [Source:RGD Symbol;Acc:1593360]
ENSRNOG00000006093	LRRTM1	leucine rich repeat transmembrane neuronal 1 [Source:RGD Symbol;Acc:1585921]
ENSRNOG00000019212	Tpp1	tripeptidyl peptidase 1 [Source:RGD Symbol;Acc:621296]
ENSRNOG00000008146	Tox2	TOX high mobility group box family member 2 [Source:RGD Symbol;Acc:735184]
ENSRNOG00000070202	Pgpep1l	pyroglutamyl-peptidase I-like [Source:RGD Symbol;Acc:1561859]
ENSRNOG00000004810	Plcb1	phospholipase C beta 1 [Source:RGD Symbol;Acc:3344]
ENSRNOG00000020635	Exosc5	exosome component 5 [Source:RGD Symbol;Acc:1307861]
ENSRNOG00000045801	Abo2	histo-blood group ABO system transferase 2 [Source:RGD Symbol;Acc:1311152]
ENSRNOG00000047176	Cd177l2	CD177 molecule like 2 [Source:RGD Symbol;Acc:1565655]
ENSRNOG00000055450	Ckmt2	creatine kinase, mitochondrial 2 [Source:RGD Symbol;Acc:61977]
ENSRNOG00000017120	Abhd2	abhydrolase domain containing 2, acylglycerol lipase [Source:RGD Symbol;Acc:1311389]
ENSRNOG00000020573	Efna1	ephrin A1 [Source:RGD Symbol;Acc:620388]
ENSRNOG00000019466	Agpat2	1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:RGD Symbol;Acc:1309229]
ENSRNOG00000020369	Igf2	insulin-like growth factor 2 [Source:RGD Symbol;Acc:2870]
ENSRNOG00000020276	Tnni2	troponin I2, fast skeletal type [Source:RGD Symbol;Acc:62050]
ENSRNOG00000011566	Cecr2	CECR2, histone acetyl-lysine reader [Source:RGD Symbol;Acc:1564182]
ENSRNOG00000033940	Adgrl4	adhesion G protein-coupled receptor L4 [Source:RGD Symbol;Acc:621136]
ENSRNOG00000053583	Mapk3	mitogen activated protein kinase 3 [Source:RGD Symbol;Acc:3046]
ENSRNOG00000042059	Rccd1	RCC1 domain containing 1 [Source:RGD Symbol;Acc:1309901]
ENSRNOG00000004410	Pax6	paired box 6 [Source:RGD Symbol;Acc:3258]
ENSRNOG00000018835	Notch2	notch receptor 2 [Source:RGD Symbol;Acc:3188]
ENSRNOG00000013573	Atp6v1b1	ATPase H+ transporting V1 subunit B1 [Source:RGD Symbol;Acc:1310619]
ENSRNOG00000010477	Pomt1	protein-O-mannosyltransferase 1 [Source:RGD Symbol;Acc:620078]
ENSRNOG00000045656	Wfdc13	WAP four-disulfide core domain 13 [Source:RGD Symbol;Acc:2319575]
ENSRNOG00000026040	Prss53	serine protease 53 [Source:RGD Symbol;Acc:1566127]
ENSRNOG00000018076	Fmo5	flavin containing dimethylaniline monoxygenase 5 [Source:RGD Symbol;Acc:628602]
ENSRNOG00000012683	Abhd17c	abhydrolase domain containing 17C, depalmitoylase [Source:RGD Symbol;Acc:1308210]
ENSRNOG00000068180	Tmem91	transmembrane protein 91 [Source:RGD Symbol;Acc:2323264]
ENSRNOG00000034230	Cd5l	Cd5 molecule-like [Source:RGD Symbol;Acc:1308526]
ENSRNOG00000021499	Siglech	sialic acid binding Ig-like lectin H [Source:RGD Symbol;Acc:1310401]
ENSRNOG00000014794	Spint4	serine peptidase inhibitor, Kunitz type 4 [Source:RGD Symbol;Acc:2319289]
ENSRNOG00000015788	Adora3	adenosine A3 receptor [Source:RGD Symbol;Acc:2051]
ENSRNOG00000022822	Fam169b	family with sequence similarity 169, member B [Source:RGD Symbol;Acc:1585883]
ENSRNOG00000017581	C2h5orf34	similar to human chromosome 5 open reading frame 34 [Source:RGD Symbol;Acc:1306227]
ENSRNOG00000029726	Gstm1	glutathione S-transferase mu 1 [Source:RGD Symbol;Acc:2755]
ENSRNOG00000026891	AC093995.1	NULL
ENSRNOG00000014578	Fxyd4	FXYD domain-containing ion transport regulator 4 [Source:RGD Symbol;Acc:70998]
ENSRNOG00000068324	Or5ae2	olfactory receptor family 5 subfamily AE member 2 [Source:RGD Symbol;Acc:1590363]
ENSRNOG00000004812	Sema6d	semaphorin 6D [Source:RGD Symbol;Acc:1310910]
ENSRNOG00000014565	Lcmt1	leucine carboxyl methyltransferase 1 [Source:RGD Symbol;Acc:735118]
ENSRNOG00000022669	Cd177	CD177 molecule [Source:RGD Symbol;Acc:1562941]
ENSRNOG00000014807	Spint5p	serine peptidase inhibitor, Kunitz type 5 [Source:RGD Symbol;Acc:1302989]
ENSRNOG00000013712	Tex261	testis expressed 261 [Source:RGD Symbol;Acc:1305851]
ENSRNOG00000018290	Alx3	ALX homeobox 3 [Source:RGD Symbol;Acc:1359270]
ENSRNOG00000051815	AC093995.3	NULL
ENSRNOG00000022407	Ftl1l6	ferritin light chain 1 like 6 [Source:RGD Symbol;Acc:1561520]
ENSRNOG00000051782	AABR07004061.1	POTE ankyrin domain family member 2 [Source:RGD Symbol;Acc:7545650]
ENSRNOG00000036816	Wls	Wnt ligand secretion mediator [Source:RGD Symbol;Acc:735139]
ENSRNOG00000011467	Uck1	uridine-cytidine kinase 1 [Source:RGD Symbol;Acc:1308313]
ENSRNOG00000013452	Rcn1	reticulocalbin 1 [Source:RGD Symbol;Acc:1311292]
ENSRNOG00000019193	Stx1b	syntaxin 1B [Source:RGD Symbol;Acc:3784]
ENSRNOG00000052140	Ogg1	8-oxoguanine DNA glycosylase [Source:RGD Symbol;Acc:621168]
ENSRNOG00000005775	Phf14	PHD finger protein 14 [Source:RGD Symbol;Acc:1563764]
ENSRNOG00000025931	Or1j8b	olfactory receptor family 1 subfamily J member 8B [Source:RGD Symbol;Acc:1333442]
ENSRNOG00000024363	Sertad1	SERTA domain containing 1 [Source:RGD Symbol;Acc:1549778]
ENSRNOG00000060707	Atg2a	autophagy related 2A [Source:RGD Symbol;Acc:1589890]
ENSRNOG00000039906	Abo3	histo-blood group ABO system transferase 3 [Source:RGD Symbol;Acc:628609]
ENSRNOG00000012357	Unc45a	unc-45 myosin chaperone A [Source:RGD Symbol;Acc:1305357]
ENSRNOG00000046958	Abo	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:RGD Symbol;Acc:2307241]
ENSRNOG00000005707	Bfsp1	beaded filament structural protein 1 [Source:RGD Symbol;Acc:2205]
ENSRNOG00000070434	C2h1orf162	similar to human chromosome 1 open reading frame 162 [Source:RGD Symbol;Acc:2323412]
ENSRNOG00000024000	Cd22	CD22 molecule [Source:RGD Symbol;Acc:1311610]
ENSRNOG00000062576	Or4f53b	olfactory receptor family 4 subfamily F member 53B [Source:RGD Symbol;Acc:1333136]
ENSRNOG00000016978	C1h16orf54	similar to human chromosome 16 open reading frame 54 [Source:RGD Symbol;Acc:1564503]
ENSRNOG00000022586	Cdk9	cyclin-dependent kinase 9 [Source:RGD Symbol;Acc:1359638]
ENSRNOG00000045539	Dusp11	dual specificity phosphatase 11 [Source:RGD Symbol;Acc:1307038]
ENSRNOG00000042162	Wfdc3	WAP four-disulfide core domain 3 [Source:RGD Symbol;Acc:1305295]
ENSRNOG00000018903	Pik3r1	phosphoinositide-3-kinase regulatory subunit 1 [Source:RGD Symbol;Acc:3329]
ENSRNOG00000011659	Alpk3	alpha-kinase 3 [Source:RGD Symbol;Acc:1309860]
ENSRNOG00000018928	LOC102553760	zinc finger protein 59-like [Source:RGD Symbol;Acc:7588314]
ENSRNOG00000011599	Gldc	glycine decarboxylase [Source:RGD Symbol;Acc:1308660]
ENSRNOG00000052070	Aldh1a3	aldehyde dehydrogenase 1 family, member A3 [Source:RGD Symbol;Acc:628662]
ENSRNOG00000017066	Zfp384	zinc finger protein 384 [Source:RGD Symbol;Acc:708346]
